DriverId	ADDRESS	CITY	STATE	ZIP	LOCATION
105689	2187 N CLYBOURN AVE	CHICAGO	IL	60614-3053	"2187 N CLYBOURN AVE
CHICAGO, IL 60614-3053
(41.92125161600006, -87.66382805599994)"
105688	2307 N MILWAUKEE AVE	CHICAGO	IL	60647-2924	"2307 N MILWAUKEE AVE
CHICAGO, IL 60647-2924
(41.92310530900005, -87.69761463699996)"
105687	3054 W ARMITAGE AVE	CHICAGO	IL	60647-7710	"3054 W ARMITAGE AVE
CHICAGO, IL 60647-7710
(41.91745845400004, -87.70460081499994)"
105685	7100 S HALSTED ST	CHICAGO	IL	60621-1728	"7100 S HALSTED ST
CHICAGO, IL 60621-1728
(41.76493897600005, -87.64444709499998)"
105683	2001 N ELSTON AVE	CHICAGO	IL	60614-3901	"2001 N ELSTON AVE
CHICAGO, IL 60614-3901
(41.91804512600004, -87.66751855099994)"
105682	925 WESTBANK DR	AUSTIN	TX	78746-6621	"925 WESTBANK DR
AUSTIN, TX 78746-6621
(30.27804436400004, -97.80876416299998)"
105681	5115 CLAUSEN AVE	WESTERN SPRINGS	IL	60558-2024	"5115 CLAUSEN AVE
WESTERN SPRINGS, IL 60558-2024
(41.79618540200005, -87.89275575999994)"
105680	4737 N CLARK ST	CHICAGO	IL	60640-7760	"4737 N CLARK ST
CHICAGO, IL 60640-7760
(41.96812772200008, -87.66728242799996)"
105679	7061 EAST AVE	HANOVER PARK	IL	60133-3520	"7061 EAST AVE
HANOVER PARK, IL 60133-3520
(42.000410070000044, -88.15430414299999)"
105677	555 W MONROE ST	CHICAGO	IL	60661-3605	"555 W MONROE ST
CHICAGO, IL 60661-3605
(41.880533583000044, -87.64202038899998)"
105675	1423 W 115TH ST	CHICAGO	IL	60643-4401	"1423 W 115TH ST
CHICAGO, IL 60643-4401
(41.68485308500004, -87.65766030999998)"
105674	3516 N KOSTNER AVE	CHICAGO	IL	60641-3807	"3516 N KOSTNER AVE
CHICAGO, IL 60641-3807
(41.944818671000064, -87.73722965099995)"
105673	2341 W GRENSHAW ST	CHICAGO	IL	60612-4205	"2341 W GRENSHAW ST
CHICAGO, IL 60612-4205
(41.86750358100005, -87.68524939399998)"
105672	3217 W 26TH ST	CHICAGO	IL	60623-4032	"3217 W 26TH ST
CHICAGO, IL 60623-4032
(41.84449269300006, -87.70565728599996)"
105669	3847 W FULLERTON AVE	CHICAGO	IL	60647-2245	"3847 W FULLERTON AVE
CHICAGO, IL 60647-2245
(41.924493135000034, -87.72375058599994)"
105668	1541 S KOSTNER AVE	CHICAGO	IL	60623-1039	"1541 S KOSTNER AVE
CHICAGO, IL 60623-1039
(41.85934196800008, -87.73469380599994)"
105667	125 S WACKER DR	CHICAGO	IL	60606-4424	"125 S WACKER DR
CHICAGO, IL 60606-4424
(41.87995283300006, -87.63665421299999)"
105666	4618 N LINCOLN AVE	CHICAGO	IL	60625-2008	"4618 N LINCOLN AVE
CHICAGO, IL 60625-2008
(41.96539318300006, -87.68646446999998)"
105665	25 E WASHINGTON ST	CHICAGO	IL	60602-1722	"25 E WASHINGTON ST
CHICAGO, IL 60602-1722
(41.88322300900006, -87.62669043199998)"
105664	1369 W GRAND AVE	CHICAGO	IL	60642-6483	"1369 W GRAND AVE
CHICAGO, IL 60642-6483
(41.89099284500003, -87.66159074399997)"
105663	1324 N MILWAUKEE AVE	CHICAGO	IL	60622-2148	"1324 N MILWAUKEE AVE
CHICAGO, IL 60622-2148
(41.905767952000076, -87.67028846399995)"
105662	2570 N ELSTON AVE	CHICAGO	IL	60647-2030	"2570 N ELSTON AVE
CHICAGO, IL 60647-2030
(41.92819489000004, -87.68205827099996)"
105661	6157 N LEAVITT ST	CHICAGO	IL	60659-4215	"6157 N LEAVITT ST
CHICAGO, IL 60659-4215
(41.993604263000066, -87.68476896199996)"
105658	1808 W ADDISON ST	CHICAGO	IL	60613-3503	"1808 W ADDISON ST
CHICAGO, IL 60613-3503
(41.94694719700004, -87.67445662899996)"
105657	8251 S PULASKI RD	CHICAGO	IL	60652-2939	"8251 S PULASKI RD
CHICAGO, IL 60652-2939
(41.742452197000034, -87.72164421499997)"
105656	1205 W WEBSTER AVE	CHICAGO	IL	60614-3133	"1205 W WEBSTER AVE
CHICAGO, IL 60614-3133
(41.921602250000035, -87.65858614699994)"
105654	6437 S KILPATRICK AVE	CHICAGO	IL	60629-5517	"6437 S KILPATRICK AVE
CHICAGO, IL 60629-5517
(41.775561862000075, -87.73972351699996)"
105645	4430 W LAWRENCE AVE	CHICAGO	IL	60630-2511	"4430 W LAWRENCE AVE
CHICAGO, IL 60630-2511
(41.968150464000075, -87.73898106899998)"
105644	6109 N CLAREMONT AVE	CHICAGO	IL	60659-5224	"6109 N CLAREMONT AVE
CHICAGO, IL 60659-5224
(41.99250413500005, -87.68846663599999)"
